filename,width,height,class,xmin,ymin,xmax,ymax
WIN_20250111_13_01_19_Pro_mp4-0007_jpg.rf.5e7f9d0c686597d1be25c6831474e135.jpg,640,640,person,148,63,580,638
Movie-on-11-01-25-at-1_29-PM_mov-0024_jpg.rf.5e9eb6ff318062524d4e10afd6617d83.jpg,640,640,person,108,112,549,639
WIN_20250111_13_00_40_Pro_mp4-0031_jpg.rf.609c8176de7ee2462970d9d65d85acaa.jpg,640,640,person,152,62,564,639
WIN_20250111_13_04_48_Pro_mp4-0004_jpg.rf.5f3effb6eb8219f82451331c91cf2aee.jpg,640,640,phone,200,575,249,639
WIN_20250111_13_04_48_Pro_mp4-0004_jpg.rf.5f3effb6eb8219f82451331c91cf2aee.jpg,640,640,person,112,163,470,639
WIN_20250111_13_27_10_Pro_mp4-0029_jpg.rf.5e8fe78f6cb71e5c83e93d908b44e0a1.jpg,640,640,person,231,201,515,639
WIN_20250111_13_21_14_Pro_mp4-0015_jpg.rf.60a21df2f3d80662724144a33897bbd3.jpg,640,640,person,145,161,559,638
WIN_20250111_13_36_31_Pro_mp4-0026_jpg.rf.602239a68bf014b3fbe268dbb66575ff.jpg,640,640,person,217,239,509,639
WIN_20250111_12_58_59_Pro_mp4-0028_jpg.rf.602d0bc4185176f59e795c0da6e60a4b.jpg,640,640,person,141,55,559,638
WIN_20250111_13_05_32_Pro_mp4-0009_jpg.rf.5fd7ea5f986c1c3ed3659bc5f5d850e7.jpg,640,640,phone,419,472,429,491
WIN_20250111_13_05_32_Pro_mp4-0009_jpg.rf.5fd7ea5f986c1c3ed3659bc5f5d850e7.jpg,640,640,ipad,441,482,513,550
WIN_20250111_13_05_32_Pro_mp4-0009_jpg.rf.5fd7ea5f986c1c3ed3659bc5f5d850e7.jpg,640,640,person,223,270,509,639
WIN_20250111_13_05_32_Pro_mp4-0009_jpg.rf.5fd7ea5f986c1c3ed3659bc5f5d850e7.jpg,640,640,person,420,367,478,541
WIN_20250111_13_19_08_Pro_mp4-0015_jpg.rf.6126be6340fa978f32b48390eeac74df.jpg,640,640,bottle,319,428,385,638
WIN_20250111_13_19_08_Pro_mp4-0015_jpg.rf.6126be6340fa978f32b48390eeac74df.jpg,640,640,person,157,209,454,639
WIN_20250111_13_13_40_Pro_mp4-0024_jpg.rf.6155ff67cc99e06ab9065f1b2509c9fc.jpg,640,640,ipad,59,187,211,421
